;biomass_boiler;biomass_plant;waste_boiler_DH;waste_plant;carbon_storage;district_heating_grid;heat_pump;electrode_boiler;hard_coal_boiler_DH;hard_coal_plant;lignite_coal_plant;lng_terminal;industrial_gas_consumer;natural_gas_boiler;natural_gas_turbine;nuclear;oil_boiler;oil_plant;photovoltaics;reservoir_hydro;run-of-river_hydro;wind_offshore;wind_onshore;battery;hydrogen_storage;natural_gas_storage;pumped_hydro
AT;0.0573;0.0573;0.0573;0.0573;0.06991;0.03102;0.0177;0.0177;0.0573;0.0573;0.0573;0.06991;0.0177;0.0177;0.0177;0.0585;0.0177;0.0177;0.042;0.0427;0.0427;0.07;0.061;0.05932;0.10991;0.05491;0.0427
BE;0.0582;0.0582;0.0582;0.0582;0.06811;0.02922;0.0186;0.0186;0.0582;0.0582;0.0582;0.06811;0.0186;0.0186;0.0186;0.0594;0.0186;0.0186;0.027;0.0436;0.0436;0.057;0.035;0.05752;0.10811;0.05311;0.0436
BG;0.0747;0.0747;0.0747;0.0747;0.08987;0.05099;0.0351;0.0351;0.0747;0.0747;0.0747;0.08987;0.0351;0.0351;0.0351;0.0759;0.0351;0.0351;0.077;0.0601;0.0601;0.106;0.096;0.07929;0.12987;0.07487;0.0601
CH;0.0498;0.0498;0.0498;0.0498;0.07108;0.0322;0.03;0.03;0.05;0.05;0.05;0.07108;0.03;0.03;0.03;0.05;0.03;0.03;0.04;0.04;0.04;0.07;0.07;0.0605;0.11108;0.05608;0.04
CZ;0.0556;0.0556;0.0556;0.0556;0.09958;0.0607;0.016;0.016;0.0556;0.0556;0.0556;0.09958;0.016;0.016;0.016;0.0568;0.016;0.016;0.0507;0.041;0.041;0.07;0.0706;0.089;0.13958;0.08458;0.041
DE;0.0548;0.0548;0.0548;0.0548;0.065;0.02611;0.0152;0.0152;0.0548;0.0548;0.0548;0.065;0.0152;0.0152;0.0152;0.056;0.0152;0.0152;0.0209;0.0402;0.0402;0.063;0.031;0.05441;0.105;0.05;0.0402
DK;0.0567;0.0567;0.0567;0.0567;0.06897;0.03008;0.0171;0.0171;0.0567;0.0567;0.0567;0.06897;0.0171;0.0171;0.0171;0.0579;0.0171;0.0171;0.033;0.0421;0.0421;0.079;0.052;0.05838;0.10897;0.05397;0.0421
EE ;0.0642;0.0642;0.0642;0.0642;0.08044;0.04156;0.0246;0.0246;0.0642;0.0642;0.0642;0.08044;0.0246;0.0246;0.0246;0.0654;0.0246;0.0246;0.074;0.0496;0.0496;0.103;0.093;0.06986;0.12044;0.06544;0.0496
EL ;0.0971;0.0971;0.0971;0.0971;0.12096;0.08207;0.0521;0.0521;0.0971;0.0971;0.0971;0.12096;0.0521;0.0521;0.0521;0.0929;0.0521;0.0521;0.12;0.0771;0.0771;0.239;0.229;0.11037;0.16096;0.10596;0.0771
ES ;0.0671;0.0671;0.0671;0.0671;0.08336;0.04447;0.0275;0.0275;0.0671;0.0671;0.0671;0.08336;0.0275;0.0275;0.0275;0.0683;0.0275;0.0275;0.077;0.0525;0.0525;0.106;0.096;0.07277;0.12336;0.06836;0.0525
FI;0.057;0.057;0.057;0.057;0.0697;0.03081;0.0174;0.0174;0.057;0.057;0.057;0.0697;0.0174;0.0174;0.0174;0.0582;0.0174;0.0174;0.042;0.0424;0.0424;0.071;0.061;0.05911;0.1097;0.0547;0.0424
FR;0.0582;0.0582;0.0582;0.0582;0.06959;0.0307;0.0186;0.0186;0.0582;0.0582;0.0582;0.06959;0.0186;0.0186;0.0186;0.0594;0.0186;0.0186;0.034;0.0436;0.0436;0.063;0.053;0.059;0.10959;0.05459;0.0436
HR ;0.0853;0.0853;0.0853;0.0853;0.10181;0.06293;0.0457;0.0457;0.0853;0.0853;0.0853;0.10181;0.0457;0.0457;0.0457;0.0865;0.0457;0.0457;0.097;0.0707;0.0707;0.126;0.116;0.09123;0.14181;0.08681;0.0707
HU;0.0841;0.0841;0.0841;0.0841;0.0984;0.05952;0.0445;0.0445;0.0841;0.0841;0.0841;0.0984;0.0445;0.0445;0.0445;0.0853;0.0445;0.0445;0.09;0.0695;0.0695;0.09;0.109;0.08782;0.1384;0.0834;0.0695
IE;0.0616;0.0616;0.0616;0.0616;0.07721;0.03833;0.022;0.022;0.0616;0.0616;0.0616;0.07721;0.022;0.022;0.022;0.0628;0.022;0.022;0.067;0.047;0.047;0.096;0.086;0.06663;0.11721;0.06221;0.047
IT;0.0669;0.0669;0.0669;0.0669;0.08033;0.04144;0.0273;0.0273;0.0669;0.0669;0.0669;0.08033;0.0273;0.0273;0.0273;0.0681;0.0273;0.0273;0.057;0.0523;0.0523;0.086;0.076;0.06974;0.12033;0.06533;0.0523
LT ;0.0636;0.0636;0.0636;0.0636;0.07821;0.03933;0.024;0.024;0.0636;0.0636;0.0636;0.07821;0.024;0.024;0.024;0.0648;0.024;0.024;0.062;0.049;0.049;0.091;0.081;0.06763;0.11821;0.06321;0.049
LU ;0.0535;0.0535;0.0535;0.0535;0.06477;0.02589;0.0139;0.0139;0.0535;0.0535;0.0535;0.06477;0.0139;0.0139;0.0139;0.0547;0.0139;0.0139;0.0315;0.0389;0.0389;0.06;0.042;0.05419;0.10477;0.04977;0.0389
LV;0.0594;0.0594;0.0594;0.0594;0.07621;0.03733;0.0198;0.0198;0.0594;0.0594;0.0594;0.07621;0.0198;0.0198;0.0198;0.0606;0.0198;0.0198;0.07;0.048;0.048;0.099;0.089;0.06563;0.11621;0.06121;0.048
